rep,day,inoc,salt,temp,mcn
R2,D6,nahant,16%,roomT,7.994430198866014
R2,D6,nahant,31%,15C,9.779988664792997
R2,D6,nahant,31%,roomT,7.864829128900023
R2,D6,nahant,46%,15C,7.964376550791655
R2,D6,nahant,46%,roomT,8.27810427339301
R2,D7,charles,16%,15C,3.066670105458494
R2,D7,charles,16%,roomT,6.2982324404664665
R2,D7,charles,31%,15C,4.018887924432801
R2,D7,charles,31%,roomT,5.895530436184795
R2,D7,charles,46%,15C,4.543755478418292
R2,D7,charles,46%,roomT,4.75514175279969
R2,D7,fucus,16%,15C,5.595911192662556
R2,D7,fucus,16%,roomT,2.308656397344871
R2,D7,fucus,31%,15C,9.095884662492201
R2,D7,fucus,31%,roomT,7.522439169920537
R2,D7,fucus,46%,15C,7.697079452457843
R2,D7,fucus,46%,roomT,8.324599906911702
R2,D7,ica,16%,15C,8.29904431734236
R2,D7,ica,16%,roomT,8.9408846295417
R2,D7,ica,31%,15C,5.966193954110065
R2,D7,ica,31%,roomT,8.35295842540797
R2,D7,ica,46%,15C,3.954036063144242
R2,D7,ica,46%,roomT,8.7419622819957
R2,D7,nahant,16%,15C,8.183155009299881
R2,D7,nahant,16%,roomT,7.885924419408643
R2,D7,nahant,31%,15C,9.722004609824344
R2,D7,nahant,31%,roomT,7.452843008047967
R2,D7,nahant,46%,15C,8.25708910667976
R2,D7,nahant,46%,roomT,8.445028569663158
R3,D1,charles,16%,15C,5.574548940153166
R3,D1,charles,16%,roomT,6.917076163785712
R3,D1,charles,31%,15C,4.514068240524224
R3,D1,charles,31%,roomT,4.878322723502509
R3,D1,charles,46%,15C,4.404634595388942
R3,D1,charles,46%,roomT,4.7503822448177155
R3,D1,fucus,16%,15C,3.765121378465389
R3,D1,fucus,16%,roomT,5.625890898173021
R3,D1,fucus,31%,15C,3.873030626560851
R3,D1,fucus,31%,roomT,4.37809786930573
R3,D1,fucus,46%,15C,4.1169952718899365
R3,D1,fucus,46%,roomT,8.531294454913207
R3,D1,ica,16%,15C,4.62228369242753
R3,D1,ica,16%,roomT,8.39807294825304
R3,D1,ica,31%,15C,4.683644623669264
R3,D1,ica,31%,roomT,4.896914679154239
R3,D1,ica,46%,15C,5.24309304312032
R3,D1,ica,46%,roomT,9.69113281078615
R3,D1,nahant,16%,15C,5.699794796358009
R3,D1,nahant,16%,roomT,4.864016233735195
R3,D1,nahant,31%,15C,5.077205323070779
R3,D1,nahant,31%,roomT,7.0425305495436215
R3,D1,nahant,46%,15C,5.5580239556880136
R3,D1,nahant,46%,roomT,8.50095276590153
R3,D3,charles,16%,15C,3.545537846725639
R3,D3,charles,16%,roomT,4.090518959073336
R3,D3,charles,31%,15C,4.1739944626535745
R3,D3,charles,31%,roomT,4.667218449263816
R3,D3,charles,46%,15C,6.411374528489245
R3,D3,charles,46%,roomT,4.341015716390276
R3,D3,fucus,16%,15C,8.00784994451961
R3,D3,fucus,16%,roomT,7.903627743518249
R3,D3,fucus,31%,15C,8.088083671583934
R3,D3,fucus,31%,roomT,7.062281847919912
R3,D3,fucus,46%,15C,8.57345091930734
R3,D3,fucus,46%,roomT,9.732324990637958
R3,D3,ica,16%,15C,6.61724437797948
R3,D3,ica,16%,roomT,6.896080373887784
R3,D3,ica,31%,15C,4.83808996929689
R3,D3,ica,31%,roomT,4.017204576521647
R3,D3,ica,46%,15C,8.619585685459525
R3,D3,ica,46%,roomT,9.256141403044136
R3,D3,nahant,16%,15C,8.206139412074537
R3,D3,nahant,16%,roomT,8.705475525552078
R3,D3,nahant,31%,15C,7.903953607899467
