day,temp,salt,cond,od
d2,roomtemp,16,fucus,0.45730000734329224
d2,roomtemp,16,blank,0.041099999099969864
d2,roomtemp,31,nahant,0.5062999725341797
d2,roomtemp,31,blank,0.04089999943971634
d2,roomtemp,31,fucus,0.5544999837875366
d2,roomtemp,31,blank,0.04089999943971634
d2,roomtemp,46,nahant,0.4336000084877014
d2,roomtemp,46,blank,0.0414000004529953
d2,roomtemp,46,fucus,0.574999988079071
d2,roomtemp,46,blank,0.041099999099969864
d2,roomtemp,16,nahant,0.4302999973297119
d2,roomtemp,16,blank,0.04100000113248825
d2,roomtemp,16,blank,0.040800001472234726
d2,roomtemp,16,blank,0.04010000079870224
d2,roomtemp,31,nahant,0.6037999987602234
d2,roomtemp,31,blank,0.04019999876618385
d2,roomtemp,31,blank,0.04050000011920929
d2,roomtemp,31,blank,0.041600000113248825
d2,roomtemp,46,nahant,0.6674000024795532
d2,roomtemp,46,blank,0.04010000079870224
d2,roomtemp,46,blank,0.04179999977350235
d2,roomtemp,46,blank,0.04089999943971634
d3,15C,16,blank,0.040800001472234726
d3,15C,16,blank,0.04230000078678131
d3,15C,16,charles,0.6341000199317932
d3,15C,16,blank,0.041200000792741776
d3,15C,31,blank,0.040800001472234726
d3,15C,31,blank,0.04089999943971634
d3,15C,31,charles,0.5232999920845032
d3,15C,31,blank,0.04129999876022339
d3,15C,46,blank,0.04190000146627426
d3,15C,46,blank,0.04309999942779541
d3,15C,46,charles,0.6984000205993652
d3,15C,46,blank,0.0414000004529953
d3,15C,16,ica,0.5963000059127808
d3,15C,16,blank,0.041099999099969864
d3,15C,16,charles,0.6754999756813049
d3,15C,16,blank,0.04179999977350235
d3,15C,31,ica,0.5537999868392944
d3,15C,31,blank,0.04089999943971634
d3,15C,31,charles,0.6395000219345093
d3,15C,31,blank,0.04190000146627426
d3,15C,46,ica,0.6840999722480774
d3,15C,46,blank,0.041099999099969864
d3,15C,46,charles,0.5663999915122986
d3,15C,46,blank,0.04190000146627426
d3,15C,16,ica,0.6377000212669373
d3,15C,16,blank,0.04100000113248825
d3,15C,16,charles,0.557699978351593
d3,15C,16,blank,0.0414000004529953
d3,15C,31,ica,0.6043000221252441
d3,15C,31,blank,0.04089999943971634
d3,15C,31,charles,0.7114999890327454
d3,15C,31,blank,0.0421999990940094
d3,15C,46,ica,0.6833000183105469
d3,15C,46,blank,0.04129999876022339
d3,15C,46,charles,0.4724000096321106
d3,15C,46,blank,0.04179999977350235
d3,15C,16,ica,0.5812000036239624
d3,15C,16,blank,0.041200000792741776
d3,15C,16,blank,0.04100000113248825
d3,15C,16,blank,0.04129999876022339
d3,15C,31,ica,0.564300000667572
d3,15C,31,blank,0.0414000004529953
d3,15C,31,blank,0.04089999943971634
d3,15C,31,blank,0.042100001126527786
d3,15C,46,ica,0.6302000284194946
d3,15C,46,blank,0.041600000113248825
d3,15C,46,blank,0.04129999876022339
d3,15C,46,blank,0.04149999842047691
d3,15C,16,blank,0.04089999943971634
d3,15C,16,blank,0.04529999941587448
d3,15C,16,fucus,0.5733000040054321
d3,15C,16,blank,0.041099999099969864
d3,15C,31,blank,0.041999999433755875
d3,15C,31,blank,0.0421999990940094
d3,15C,31,fucus,0.5418999791145325
d3,15C,31,blank,0.041600000113248825
d3,15C,46,blank,0.04129999876022339
d3,15C,46,blank,0.041200000792741776
d3,15C,46,fucus,0.4943000078201294
d3,15C,46,blank,0.04179999977350235
d3,15C,16,nahant,0.6327999830245972
d3,15C,16,blank,0.040800001472234726
d3,15C,16,fucus,0.539900004863739
d3,15C,16,blank,0.040800001472234726
d3,15C,31,nahant,0.6047999858856201
d3,15C,31,blank,0.04100000113248825
d3,15C,31,fucus,0.5059999823570251
d3,15C,31,blank,0.0421999990940094
d3,15C,46,nahant,0.6488000154495239
d3,15C,46,blank,0.041200000792741776
d3,15C,46,fucus,0.646399974822998
d3,15C,46,blank,0.04089999943971634
d3,15C,16,nahant,0.489300012588501
d3,15C,16,blank,0.040800001472234726
d3,15C,16,fucus,0.5435000061988831
d3,15C,16,blank,0.04089999943971634
d3,15C,31,nahant,0.47620001435279846
d3,15C,31,blank,0.04129999876022339
d3,15C,31,fucus,0.6007999777793884
d3,15C,31,blank,0.04170000180602074
d3,15C,46,nahant,0.5277000069618225
d3,15C,46,blank,0.04129999876022339
d3,15C,46,fucus,0.6934999823570251
d3,15C,46,blank,0.042100001126527786
d3,15C,16,nahant,0.461899995803833
d3,15C,16,blank,0.0406000018119812
d3,15C,16,blank,0.04100000113248825
d3,15C,16,blank,0.039900001138448715
d3,15C,31,nahant,0.6791999936103821
d3,15C,31,blank,0.04050000011920929
d3,15C,31,blank,0.0406000018119812
d3,15C,31,blank,0.04050000011920929
d3,15C,46,nahant,0.5572999715805054
d3,15C,46,blank,0.04190000146627426
d3,15C,46,blank,0.041999999433755875
d3,15C,46,blank,0.04149999842047691
d3,roomtemp,16,blank,0.0414000004529953
d3,roomtemp,16,blank,0.04179999977350235
d3,roomtemp,16,charles,0.6363000273704529
d3,roomtemp,16,blank,0.0414000004529953
d3,roomtemp,31,blank,0.041200000792741776
d3,roomtemp,31,blank,0.041099999099969864
d3,roomtemp,31,charles,0.70169997215271
d3,roomtemp,31,blank,0.040800001472234726
d3,roomtemp,46,blank,0.041099999099969864
d3,roomtemp,46,blank,0.042100001126527786
d3,roomtemp,46,charles,0.5963000059127808
d3,roomtemp,46,blank,0.04100000113248825
d3,roomtemp,16,ica,0.5370000004768372
d3,roomtemp,16,blank,0.041099999099969864
d3,roomtemp,16,charles,0.48010000586509705
d3,roomtemp,16,blank,0.041999999433755875
d3,roomtemp,31,ica,0.5371999740600586
d3,roomtemp,31,blank,0.04100000113248825
d3,roomtemp,31,charles,0.5460000038146973
d3,roomtemp,31,blank,0.04149999842047691
d3,roomtemp,46,ica,0.6396999955177307
d3,roomtemp,46,blank,0.0414000004529953
d3,roomtemp,46,charles,0.8228999972343445
d3,roomtemp,46,blank,0.0414000004529953
d3,roomtemp,16,ica,0.4738999903202057
d3,roomtemp,16,blank,0.04190000146627426
d3,roomtemp,16,charles,0.5134000182151794
d3,roomtemp,16,blank,0.04100000113248825
d3,roomtemp,31,ica,0.49970000982284546
d3,roomtemp,31,blank,0.0414000004529953
d3,roomtemp,31,charles,0.5024999976158142
d3,roomtemp,31,blank,0.041999999433755875
d3,roomtemp,46,ica,0.6762999892234802
d3,roomtemp,46,blank,0.0414000004529953
d3,roomtemp,46,charles,0.7843000292778015
d3,roomtemp,46,blank,0.04149999842047691
d3,roomtemp,16,ica,0.5230000019073486
d3,roomtemp,16,blank,0.04179999977350235
d3,roomtemp,16,blank,0.041200000792741776
d3,roomtemp,16,blank,0.041600000113248825
d3,roomtemp,31,ica,0.6531999707221985
d3,roomtemp,31,blank,0.040800001472234726
d3,roomtemp,31,blank,0.04170000180602074
d3,roomtemp,31,blank,0.042100001126527786
d3,roomtemp,46,ica,0.4729999899864197
d3,roomtemp,46,blank,0.040800001472234726
d3,roomtemp,46,blank,0.0414000004529953
d3,roomtemp,46,blank,0.041200000792741776
d3,roomtemp,16,blank,0.04100000113248825
d3,roomtemp,16,blank,0.0414000004529953
d3,roomtemp,16,fucus,0.5042999982833862
d3,roomtemp,16,blank,0.04129999876022339
d3,roomtemp,31,blank,0.04320000112056732
d3,roomtemp,31,blank,0.04179999977350235
d3,roomtemp,31,fucus,0.5515000224113464
d3,roomtemp,31,blank,0.043299999088048935
d3,roomtemp,46,blank,0.041600000113248825
d3,roomtemp,46,blank,0.041099999099969864
