day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D1,61,61,5-95,6-25,6,25,4333333333.333333,7333333333.333333,0.35757575757575755
D1,61,61,50-50,2-25,2,25,4333333333.333333,2333333333.3333335,0.6259259259259259
D1,61,61,50-50,2-32,2,32,66666666.666666664,4066666666.6666665,0.9844253490870032
D1,61,61,50-50,2-II.F2,2,II.F2,2600000000,433333333.3333333,0.84996684996685
D1,61,61,50-50,40-2,40,2,700000000,1566666666.6666667,0.6944444444444444
D1,61,61,50-50,40-39,40,39,0,0,NA
D1,61,61,50-50,40-8,40,8,1433333333.3333333,733333333.3333334,0.3104700854700855
D1,61,61,50-50,40-II.F2,40,II.F2,0,0,NA
D1,61,61,50-50,6-25,6,25,7333333333.333333,4666666666.666667,0.6285774410774411
D1,61,61,95-5,2-25,2,25,3000000000,1666666666.6666665,0.6666666666666667
D1,61,61,95-5,2-32,2,32,1400000000,400000000,0.21746359362458434
D1,61,61,95-5,2-II.F2,2,II.F2,2033333333.3333333,66666666.666666664,0.9696356275303644
D1,61,61,95-5,40-2,40,2,2100000000,900000000,0.2975867269984917
D1,61,61,95-5,40-39,40,39,3800000000,33333333.333333336,0.9912280701754386
D1,61,61,95-5,40-8,40,8,2233333333.3333335,533333333.3333333,0.18006993006993008
D1,61,61,95-5,40-II.F2,40,II.F2,2800000000,800000000,0.7802197802197802
D1,61,61,95-5,6-25,6,25,9666666666.666666,4333333333.333333,0.6765086765086765
D3,16,16,100,2,2,2,1566666666.6666667,0,1
D3,16,16,100,25,25,25,7833333333.333333,0,1
D3,16,16,100,32,32,32,2533333333.3333335,0,1
D3,16,16,100,39,39,39,3600000000,0,1
D3,16,16,100,40,40,40,4933333333.333333,0,1
D3,16,16,100,8,8,8,1400000000,0,1
D3,16,16,100,II.F2,II.F2,II.F2,2133333333.3333333,0,1
D3,16,16,5-95,2-25,2,25,1000000000,11333333333.333334,0.08278388278388278
D3,16,16,5-95,2-32,2,32,0,2333333333.3333335,1
D3,16,16,5-95,2-II.F2,2,II.F2,800000000,2933333333.3333335,0.21311571311571312
D3,16,16,5-95,40-2,40,2,3833333333.3333335,0,0
D3,16,16,5-95,40-39,40,39,3066666666.6666665,900000000,0.7669250645994832
