day_ID,salinity,salt,pair,pair_type,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D3,31,31,25,mono,25,25,7900000000,0,1
D3,31,31,32,mono,32,32,4600000000,0,1
D3,31,31,39,mono,39,39,4800000000,0,1
D3,31,31,40,mono,40,40,4066666666.6666665,0,1
D3,31,31,40-2,pair,40,2,3377777777.7777777,1144444444.4444444,0.2796799527982112
D3,31,31,40-39,pair,40,39,2900000000,300000000,0.8537805815583593
D3,31,31,40-8,pair,40,8,2188888888.888889,722222222.2222222,0.26228823320928585
D3,31,31,40-II.F2,pair,40,II.F2,3966666666.6666665,466666666.6666666,0.8945943343504319
D3,31,31,6-25,pair,6,25,1055555555.5555556,4666666666.666667,0.19432891001518451
D3,31,31,8,mono,8,8,1766666666.6666667,0,1
D3,31,31,II.F2,mono,II.F2,II.F2,9166666666.666666,0,1
D3,46,46,2,mono,2,2,1833333333.3333333,0,1
D3,46,46,2-25,pair,2,25,3888888888.888889,3555555555.5555553,0.5234567901234568
D3,46,46,2-32,pair,2,32,222222222.2222222,2311111111.111111,0.8653331394379987
D3,46,46,2-II.F2,pair,2,II.F2,1255555555.5555556,1144444444.4444444,0.5939750810718553
D3,46,46,25,mono,25,25,8466666666.666667,0,1
D3,46,46,32,mono,32,32,3000000000,0,1
D3,46,46,39,mono,39,39,833333333.3333334,0,1
D3,46,46,40,mono,40,40,3100000000,0,1
D3,46,46,40-2,pair,40,2,2188888888.888889,733333333.3333333,0.3066151943869335
D3,46,46,40-39,pair,40,39,2511111111.111111,177777777.7777778,0.9203859968565851
D3,46,46,40-8,pair,40,8,2811111111.111111,511111111.1111111,0.15756881413708476
D3,46,46,40-II.F2,pair,40,II.F2,4111111111.111111,2244444444.4444447,0.6503786056811547
D3,46,46,6-25,pair,6,25,13777777777.777779,4666666666.666667,0.7067104364095574
D3,46,46,8,mono,8,8,733333333.3333334,0,1
D3,46,46,II.F2,mono,II.F2,II.F2,1400000000,0,1
D3,61,61,2,mono,2,2,1833333333.3333333,0,1
D3,61,61,2-25,pair,2,25,3777777777.7777777,2000000000,0.662610229276896
D3,61,61,2-32,pair,2,32,277777777.7777778,1577777777.7777777,0.8479888469018904
D3,61,61,2-II.F2,pair,2,II.F2,1333333333.3333333,777777777.7777778,0.680264878340467
D3,61,61,25,mono,25,25,6366666666.666667,0,1
D3,61,61,32,mono,32,32,1833333333.3333333,0,1
D3,61,61,39,mono,39,39,600000000,0,1
D3,61,61,40,mono,40,40,4400000000,0,1
D3,61,61,40-2,pair,40,2,277777777.7777778,1888888888.8888888,0.871019721019721
