isolate_id,nreps,ndates,lin_x0,lin_slope,lin_x0_sd,lin_slope_sd,lin_sigma,lin_adj_rsquared,seg_x0_1,seg_slope1,changepoint,seg_slope2,seg_x0_2,fit_smax,fit_gchange,seg_sigma,seg_adj_rsquared,fit_sopt
II.A12,3,2,0.2386,-6e-4,0.0595,0.0012,0.2071,-0.0211,-0.0661,0.0159,33.6899,-0.0083,0.7492,90.2651,0.4696,0.0877,0.8168,33.6899
II.C5,4,3,0.9646,-0.0055,0.0606,0.0012,0.2434,0.2901,1.2346,-0.0359,13.3535,-0.0027,0.7913,293.0741,0.7552,0.2193,0.4238,13.3535
II.C10,3,2,0.7615,0.0037,0.1468,0.003,0.5107,0.0158,-0.1226,0.0604,27.1925,-0.0138,1.8951,137.3261,1.5198,0.1637,0.8989,27.1925
II.E6,5,4,1.103,-0.0137,0.0526,0.0011,0.2335,0.744,1.2736,-0.0211,50.0001,-0.005,0.4686,93.72,0.2186,0.1942,0.8231,50.0001
II.F1,6,5,1.1488,-0.0107,0.0228,5e-4,0.1121,0.8837,0.8974,0.0478,5.811,-0.0122,1.2461,102.1393,1.1752,0.0733,0.9503,5.811
II.F10,6,5,0.171,-0.0013,0.0365,7e-4,0.1793,0.0285,-0.0031,0.0162,14.9999,-0.0031,0.2864,92.3871,0.2399,0.1648,0.1793,14.9999
I.B12,4,3,0.7721,5e-4,0.0899,0.0018,0.3611,-0.0199,0.0073,0.0679,17.7565,-0.0091,1.3746,151.0549,1.213,0.0885,0.9387,17.7565
II.G5,1,1,1.1808,-0.0119,0.0203,4e-4,0.0407,0.9873,1.1096,0.0066,5.0001,-0.0123,1.2041,97.8943,1.1426,0.035,0.9906,5.0001
II.F3,3,3,0.6916,-0.0032,0.0638,0.0013,0.222,0.1255,0.8907,-0.0185,21.0875,-2e-4,0.5048,2524,0.5006,0.2057,0.2492,21.0875
I.E2,8,8,0.2038,-0.0018,0.0426,9e-4,0.242,0.035,0.1549,4e-4,44.9998,-0.0038,0.3439,90.5,0.1729,0.2419,0.0356,44.9998
I.C11,1,1,0.6978,0.0023,0.2216,0.0045,0.4451,-0.0712,-0.1043,0.06,23.3607,-0.0112,1.559,139.1964,1.2973,0.1108,0.9336,23.3607
II.C1,1,1,1.6069,-0.0166,0.1558,0.0031,0.3128,0.7092,1.3909,-0.0065,42.6929,-0.0246,2.1636,87.9512,1.1134,0.2975,0.7369,42.6929
II.F4,3,3,0.6739,-0.0088,0.054,0.0011,0.1877,0.6487,0.7974,-0.014,56.8683,0,0.0012,56.9571,0.0012,0.1606,0.7427,56.8683
II.G4,4,4,0.5164,-0.0058,0.013,3e-4,0.0521,0.9123,0.5341,-0.0065,79.9999,-9e-4,0.0861,95.6667,0.0141,0.047,0.9286,79.9999
II.D12,4,4,0.6359,-0.0033,0.1207,0.0024,0.4848,0.0171,0.1682,0.0187,41.842,-0.0201,1.7917,89.1393,0.9506,0.3651,0.4426,41.842
37,2,2,0.8066,0.002,0.1525,0.0031,0.4331,-0.0265,-0.0225,0.0616,23.3842,-0.012,1.6986,141.55,1.418,0.0712,0.9723,23.3842
N4,4,3,0.3723,-1e-4,0.0584,0.0012,0.2347,-0.0216,0.0301,0.0224,26.3658,-0.0066,0.7947,120.4091,0.6207,0.1498,0.5837,26.3658
II.A4,5,5,0.5913,-0.0032,0.0476,0.001,0.2139,0.1485,0.4614,0.0031,39.3752,-0.0074,0.8748,118.2162,0.5835,0.1987,0.2654,39.3752
II.C6,3,3,0.6952,-0.0041,0.0709,0.0014,0.2464,0.1687,0.3109,0.0267,19.9364,-0.0093,1.0286,110.6022,0.8432,0.1682,0.6128,19.9364
II.E11,5,5,0.675,0.0035,0.068,0.0014,0.3053,0.0851,0.0715,0.0478,22.7154,-0.0063,1.3004,206.4127,1.1573,0.0603,0.9643,22.7154
II.F2,10,9,0.7592,-0.0028,0.0152,3e-4,0.0963,0.4149,0.7731,-0.0036,29.9959,-0.0025,0.7401,296.04,0.6651,0.0968,0.4088,29.9959
B2R09,3,2,0.3666,-0.0017,0.0722,0.0015,0.2511,0.0086,0,0.0938,5.0001,-0.0037,0.4875,131.7568,0.469,0.2242,0.21,5.0001
B3M08,4,3,0.1873,-0.0018,0.0518,0.001,0.2082,0.039,0.0485,0.0344,5.0001,-0.0025,0.233,93.2,0.2205,0.2073,0.0471,5.0001
C2R09,6,5,0.5229,-7e-4,0.0338,7e-4,0.1663,-4e-4,0.4632,0.0018,57.3021,-0.0051,0.8586,168.3529,0.5663,0.1609,0.0639,57.3021
I3M07,6,5,0.8806,0.0023,0.0992,0.002,0.4879,0.0043,0.0074,0.0661,22.8583,-0.012,1.7926,149.3833,1.5183,0.2276,0.7834,22.8583
44c,2,2,1.2105,-0.0044,0.1282,0.0026,0.364,0.0785,0.7161,0.0237,31.523,-0.0159,1.9644,123.5472,1.4632,0.2174,0.6714,31.523
C3M06,1,1,0.9756,-0.0037,0.2825,0.0057,0.5673,-0.0549,0,0.2504,5.0001,-0.0091,1.2975,142.5824,1.252,0.494,0.2001,5.0001
A2M03,3,2,0.6605,-0.0058,0.1348,0.0028,0.4669,0.0888,0,0.1667,5.0001,-0.0095,0.881,92.7368,0.8335,0.4193,0.2653,5.0001
D2R04,1,1,0.5958,-0.0045,0.2165,0.0044,0.4349,0.0077,-0.1381,0.0691,14.9998,-0.0124,1.0844,87.4516,0.8984,0.2949,0.5437,14.9998
E3R11,1,1,0.4639,0.0012,0.2072,0.0042,0.4161,-0.0915,-0.1027,0.0327,32.4287,-0.0126,1.3663,108.4365,0.9577,0.2227,0.6874,32.4287
E3R09,3,3,0.5981,-0.0055,0.1338,0.0027,0.4655,0.0824,0,0.1503,5.0001,-0.0087,0.795,91.3793,0.7515,0.4309,0.2138,5.0001
C3M10,1,1,1.9142,-0.0266,0.4277,0.0086,0.8589,0.436,3.0751,-0.1167,20.8771,-0.0096,0.8392,87.4167,0.6387,0.6851,0.6412,20.8771
B3M07,1,1,0.1537,-7e-4,0.0685,0.0014,0.1375,-0.0694,-0.0488,0.013,25.2526,-0.0045,0.3931,87.3556,0.2795,0.0865,0.5768,25.2526
i59,4,4,0.9583,-0.001,0.1122,0.0023,0.4505,-0.0176,0.0868,0.0656,21.412,-0.0141,1.7933,127.1844,1.4914,0.1533,0.8821,21.412
34,3,3,1.0557,-0.0019,0.1116,0.0022,0.3745,-0.008,0.6225,0.0198,35.3114,-0.0126,1.7666,140.2063,1.3217,0.2792,0.4397,35.3114
39,7,7,0.7883,-0.0096,0.0233,5e-4,0.1236,0.8355,0.8628,-0.0126,68.4892,0,-2e-4,68.4762,-2e-4,0.0989,0.8946,68.4892
40,7,7,1.2396,-0.0119,0.0337,7e-4,0.1789,0.7861,0.9854,0.0304,8.7334,-0.014,1.3732,98.0857,1.2509,0.1534,0.8426,8.7334
B2R22,5,5,0.3623,-0.0031,0.0637,0.0013,0.2861,0.0755,0.0978,0.0236,14.9045,-0.0059,0.5375,91.1017,0.4495,0.2664,0.1986,14.9045
18c,2,2,0.8803,0.0011,0.157,0.0032,0.4459,-0.0394,0.038,0.0601,24.2885,-0.0136,1.8281,134.4191,1.4977,0.0595,0.9815,24.2885
32,5,5,0.8342,0.0017,0.0801,0.0016,0.3595,0.0023,0.1802,0.052,21.2133,-0.008,1.453,181.625,1.2833,0.1735,0.7676,21.2133
I.F2,1,1,1.1075,-0.006,0.2291,0.0046,0.4602,0.0582,0,0.2825,5.0001,-0.012,1.4725,122.7083,1.4125,0.2466,0.7295,5.0001
II.A1,3,3,0.4678,-0.0052,0.0396,8e-4,0.1377,0.5472,0.4841,-0.0059,79.9999,-8e-4,0.0761,95.125,0.0121,0.14,0.532,79.9999
II.A2,1,1,0.7579,-0.003,0.1647,0.0033,0.3308,-0.0146,-0,0.1014,10.7707,-0.0103,1.2031,116.8058,1.0921,0.0623,0.964,10.7707
